name,date,temp,pressure
null_________________________,01_01_2000,0.0,0.0
DATASET1_1_10000_00001.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00002.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00003.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00004.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00005.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00006.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00007.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00008.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00009.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00010.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00011.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00012.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00013.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00014.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00015.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00016.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00017.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00018.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00019.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00020.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00021.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00022.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00023.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00024.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00025.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00026.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00027.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00028.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00029.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00030.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00031.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00032.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00033.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00034.tif,01_25_2025,296.5,88057.0
DATASET1_1_10000_00035.tif,01_25_2025,296.5,88057.0
